Unicode,UTF-8,Description
U+0023 U+FE0F U+20E3,#️⃣,keycap; #
U+002A U+FE0F U+20E3,*️⃣,keycap; *
U+0030 U+FE0F U+20E3,0️⃣,keycap; 0
U+0031 U+FE0F U+20E3,1️⃣,keycap; 1
U+0032 U+FE0F U+20E3,2️⃣,keycap; 2
U+0033 U+FE0F U+20E3,3️⃣,keycap; 3
U+0034 U+FE0F U+20E3,4️⃣,keycap; 4
U+0035 U+FE0F U+20E3,5️⃣,keycap; 5
U+0036 U+FE0F U+20E3,6️⃣,keycap; 6
U+0037 U+FE0F U+20E3,7️⃣,keycap; 7
U+0038 U+FE0F U+20E3,8️⃣,keycap; 8
U+0039 U+FE0F U+20E3,9️⃣,keycap; 9
U+00A9,©,copyright
U+00AE,®,registered
U+1F004,🀄,mahjong red dragon
U+1F0CF,🃏,joker
U+1F170,🅰,A button (blood type)
U+1F171,🅱,B button (blood type)
U+1F17E,🅾,O button (blood type)
U+1F17F,🅿,P button
U+1F18E,🆎,AB button (blood type)
U+1F191,🆑,CL button
U+1F192,🆒,COOL button
U+1F193,🆓,FREE button
U+1F194,🆔,ID button
U+1F195,🆕,NEW button
U+1F196,🆖,NG button
U+1F197,🆗,OK button
U+1F198,🆘,SOS button
U+1F199,🆙,UP! button
U+1F19A,🆚,VS button
U+1F1E6 U+1F1E8,🇦🇨,flag; Ascension Island
U+1F1E6 U+1F1E9,🇦🇩,flag; Andorra
U+1F1E6 U+1F1EA,🇦🇪,flag; United Arab Emirates
U+1F1E6 U+1F1EB,🇦🇫,flag; Afghanistan
U+1F1E6 U+1F1EC,🇦🇬,flag; Antigua & Barbuda
U+1F1E6 U+1F1EE,🇦🇮,flag; Anguilla
U+1F1E6 U+1F1F1,🇦🇱,flag; Albania
U+1F1E6 U+1F1F2,🇦🇲,flag; Armenia
U+1F1E6 U+1F1F4,🇦🇴,flag; Angola
U+1F1E6 U+1F1F6,🇦🇶,flag; Antarctica
U+1F1E6 U+1F1F7,🇦🇷,flag; Argentina
U+1F1E6 U+1F1F8,🇦🇸,flag; American Samoa
U+1F1E6 U+1F1F9,🇦🇹,flag; Austria
U+1F1E6 U+1F1FA,🇦🇺,flag; Australia
U+1F1E6 U+1F1FC,🇦🇼,flag; Aruba
U+1F1E6 U+1F1FD,🇦🇽,flag; Åland Islands
U+1F1E6 U+1F1FF,🇦🇿,flag; Azerbaijan
U+1F1E7 U+1F1E6,🇧🇦,flag; Bosnia & Herzegovina
U+1F1E7 U+1F1E7,🇧🇧,flag; Barbados
U+1F1E7 U+1F1E9,🇧🇩,flag; Bangladesh
U+1F1E7 U+1F1EA,🇧🇪,flag; Belgium
U+1F1E7 U+1F1EB,🇧🇫,flag; Burkina Faso
U+1F1E7 U+1F1EC,🇧🇬,flag; Bulgaria
U+1F1E7 U+1F1ED,🇧🇭,flag; Bahrain
U+1F1E7 U+1F1EE,🇧🇮,flag; Burundi
U+1F1E7 U+1F1EF,🇧🇯,flag; Benin
U+1F1E7 U+1F1F1,🇧🇱,flag; St. Barthélemy
U+1F1E7 U+1F1F2,🇧🇲,flag; Bermuda
U+1F1E7 U+1F1F3,🇧🇳,flag; Brunei
U+1F1E7 U+1F1F4,🇧🇴,flag; Bolivia
U+1F1E7 U+1F1F6,🇧🇶,flag; Caribbean Netherlands
U+1F1E7 U+1F1F7,🇧🇷,flag; Brazil
U+1F1E7 U+1F1F8,🇧🇸,flag; Bahamas
U+1F1E7 U+1F1F9,🇧🇹,flag; Bhutan
U+1F1E7 U+1F1FB,🇧🇻,flag; Bouvet Island
U+1F1E7 U+1F1FC,🇧🇼,flag; Botswana
U+1F1E7 U+1F1FE,🇧🇾,flag; Belarus
U+1F1E7 U+1F1FF,🇧🇿,flag; Belize
U+1F1E8 U+1F1E6,🇨🇦,flag; Canada
U+1F1E8 U+1F1E8,🇨🇨,flag; Cocos (Keeling) Islands
U+1F1E8 U+1F1E9,🇨🇩,flag; Congo - Kinshasa
U+1F1E8 U+1F1EB,🇨🇫,flag; Central African Republic
U+1F1E8 U+1F1EC,🇨🇬,flag; Congo - Brazzaville
U+1F1E8 U+1F1ED,🇨🇭,flag; Switzerland
U+1F1E8 U+1F1EE,🇨🇮,flag; Côte d’Ivoire
U+1F1E8 U+1F1F0,🇨🇰,flag; Cook Islands
U+1F1E8 U+1F1F1,🇨🇱,flag; Chile
U+1F1E8 U+1F1F2,🇨🇲,flag; Cameroon
U+1F1E8 U+1F1F3,🇨🇳,flag; China
U+1F1E8 U+1F1F4,🇨🇴,flag; Colombia
U+1F1E8 U+1F1F5,🇨🇵,flag; Clipperton Island
U+1F1E8 U+1F1F7,🇨🇷,flag; Costa Rica
U+1F1E8 U+1F1FA,🇨🇺,flag; Cuba
U+1F1E8 U+1F1FB,🇨🇻,flag; Cape Verde
U+1F1E8 U+1F1FC,🇨🇼,flag; Curaçao
U+1F1E8 U+1F1FD,🇨🇽,flag; Christmas Island
U+1F1E8 U+1F1FE,🇨🇾,flag; Cyprus
U+1F1E8 U+1F1FF,🇨🇿,flag; Czechia
U+1F1E9 U+1F1EA,🇩🇪,flag; Germany
U+1F1E9 U+1F1EC,🇩🇬,flag; Diego Garcia
U+1F1E9 U+1F1EF,🇩🇯,flag; Djibouti
U+1F1E9 U+1F1F0,🇩🇰,flag; Denmark
U+1F1E9 U+1F1F2,🇩🇲,flag; Dominica
U+1F1E9 U+1F1F4,🇩🇴,flag; Dominican Republic
U+1F1E9 U+1F1FF,🇩🇿,flag; Algeria
U+1F1EA U+1F1E6,🇪🇦,flag; Ceuta & Melilla
U+1F1EA U+1F1E8,🇪🇨,flag; Ecuador
U+1F1EA U+1F1EA,🇪🇪,flag; Estonia
U+1F1EA U+1F1EC,🇪🇬,flag; Egypt
U+1F1EA U+1F1ED,🇪🇭,flag; Western Sahara
U+1F1EA U+1F1F7,🇪🇷,flag; Eritrea
U+1F1EA U+1F1F8,🇪🇸,flag; Spain
U+1F1EA U+1F1F9,🇪🇹,flag; Ethiopia
U+1F1EA U+1F1FA,🇪🇺,flag; European Union
U+1F1EB U+1F1EE,🇫🇮,flag; Finland
U+1F1EB U+1F1EF,🇫🇯,flag; Fiji
U+1F1EB U+1F1F0,🇫🇰,flag; Falkland Islands
U+1F1EB U+1F1F2,🇫🇲,flag; Micronesia
U+1F1EB U+1F1F4,🇫🇴,flag; Faroe Islands
U+1F1EB U+1F1F7,🇫🇷,flag; France
U+1F1EC U+1F1E6,🇬🇦,flag; Gabon
U+1F1EC U+1F1E7,🇬🇧,flag; United Kingdom
U+1F1EC U+1F1E9,🇬🇩,flag; Grenada
U+1F1EC U+1F1EA,🇬🇪,flag; Georgia
U+1F1EC U+1F1EB,🇬🇫,flag; French Guiana
U+1F1EC U+1F1EC,🇬🇬,flag; Guernsey
